,Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
0,226-31-3081,C,Port Harcourt,Normal,Female,Electronic accessories,5500.8,5,1375.2,28879.2,3/8/2019,10:29,Cash,27504.000000000004,4.761904762,1375.2,9.6
1,699-14-3026,C,Port Harcourt,Normal,Male,Electronic accessories,30740.4,7,10759.14,225941.94,3/25/2019,18:30,Epay,215182.8,4.761904762,10759.14,4.1
2,315-22-5665,C,Port Harcourt,Normal,Female,Home and lifestyle,26481.6,10,13240.8,278056.8,2/24/2019,11:38,Epay,264816.0,4.761904762,13240.8,8.0
3,300-71-4605,C,Port Harcourt,Member,Male,Electronic accessories,30974.4,5,7743.6,162615.6,2/25/2019,11:24,Epay,154872.0,4.761904762,7743.6,4.8
4,183-56-6882,C,Port Harcourt,Member,Female,Food and beverages,35791.2,4,7158.24,150323.04,2/6/2019,10:42,Epay,143164.8,4.761904762,7158.24,7.5
5,232-16-2483,C,Port Harcourt,Member,Female,Sports and travel,24523.2,1,1226.16,25749.360000000004,1/7/2019,12:28,Epay,24523.2,4.761904762,1226.16,6.8
6,333-73-7901,C,Port Harcourt,Normal,Female,Health and beauty,19771.2,8,7908.480000000001,166078.08000000002,3/23/2019,13:24,Epay,158169.6,4.761904762,7908.480000000001,7.6
7,554-53-8700,C,Port Harcourt,Member,Male,Home and lifestyle,20199.6,2,2019.9600000000005,42419.16,2/2/2019,10:11,Cash,40399.2,4.761904762,2019.9600000000005,6.3
8,228-96-1411,C,Port Harcourt,Member,Female,Food and beverages,35532.0,8,14212.8,298468.8,3/4/2019,20:39,Cash,284256.0,4.761904762,14212.8,7.6
9,617-15-4209,C,Port Harcourt,Member,Male,Health and beauty,5533.2,2,553.3199999999999,11619.72,3/16/2019,19:47,Cash,11066.4,4.761904762,553.3199999999999,7.2
10,574-22-5561,C,Port Harcourt,Member,Female,Fashion accessories,29746.8,10,14873.4,312341.4,3/19/2019,17:08,Epay,297468.0,4.761904762,14873.4,7.9
